source_id,source_document,source_sha256_prefix,extraction_run,table_id,category,page,row_type,serial,geography_name,religion,value,row_total
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,22,RAJASTHAN,sikh,258,5614
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,22,RAJASTHAN,christian,18,5614
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,22,RAJASTHAN,others,19,5614
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,23,SIKKIM,hindu,89,164
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,23,SIKKIM,muslim,8,164
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,23,SIKKIM,sikh,0,164
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,23,SIKKIM,christian,39,164
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,23,SIKKIM,others,28,164
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,24,TAMIL NADU,hindu,2733,3694
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,24,TAMIL NADU,muslim,375,3694
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,24,TAMIL NADU,sikh,0,3694
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,24,TAMIL NADU,christian,583,3694
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,24,TAMIL NADU,others,3,3694
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,25,TELANGANA,hindu,1574,2063
ncrb-prison,sources/ncrb-prison/psi-2018.pdf,7658b44cc01ba9da,ncrb-prison-extract-v2.0.0-2018-20260529T175118Z,2.10C,convicts,105,state,25,TELANGANA,muslim,163,2063
