id	idno	repo	title
127	DDI-IND-MOSPI-NSSO-68-10-2013	central	Employment and Unemployment, July 2011- June 2012
126	DDI-IND-MOSPI-NSSO-68Rnd-Sch2.0-July2011-June2012	central	Household Consumer Expenditure, NSS 68th Round Sch1.0 Type 2 : July 2011 - June 2012
125	IND-NSSO-SUNAE-2010-v1.0	ENT	Survey on Unincorporated Non-Agricultural Enterprises (Excluding Construction) July-June 2010-11
124	DDI-IND-MOSPI-NSSO-66-10-2011	central	Employment and Unemployment, July  2009 - June 2010
123	DDI-IND-NSSO-66-SCHEDULE-1.0T2	central	Household Consumer Expenditure, July 2009 - June 2010
122	DDI-IND-NSSO-66-SCHEDULE-1.0T1	central	Household Consumer Expenditure  Type-1, July 2009 - June 2010
121	IND-NSSO-DTS-2008-v1	central	Domestic Tourism Survey, July 2008 - June 2009
120	DDI-IND-MOSPI-NSSO-65Rnd-Sch1dot2-2008-09	central	Housing Condition Survey, July 2008- June  2009
119	DDI-IND-MOSPI-NSSO-65Rnd-Sch-0dot21-2008-09	central	Urban Slums Survey , July 2008- June  2009
118	Schedule 25.2	central	Participation and Expenditure in Education, 2007-08
117	IND-NSSO-EUMS-2007-v1	EUE	Employment, Unemployment and Migration Survey, July 2007 - June 2008
116	IND-NSSO-HCES-2007-v1	central	Household Consumer Expenditure Survey, July 2007-June 2008
115	IND-NSSO-SSI-2006-v1.0	OTH	Service Sector in India 2006-07
114	DDI-IND-MOSPI-NSSO-63Rnd-Sch1.0-2006-07	CEXP	Household Consumer Expenditure, NSS 63rd Round : July 2006 - June 2007
113	DDI-IND-MOSPI-NSSO-62nd-Sch10-2005-06	EUE	Employment and Unemployment Survey,  July 2005 - June 2006
112	DDI-IND-MOSPI-NSSO-62nd-Sch2dot2-LF-2005-06	central	Unorganised Manufacturing Enterprises Survey [List Frame], July 2005 - June 2006
111	DDI-IND-MOSPI-NSSO-62nd-Sch2dot2-AF-2005-06	central	Unorganised Manufacturing Enterprises Survey [AREA Frame]  : NSS 62nd Round : July 2005 - June 2006
110	DDI-IND-MOSPI-NSSO-62Rnd-Sch1.0-2005-06	CEXP	Household Consumer Expenditure, July 2005 - June 2006
109	DDI-IND-MOSPI-NSSO-61-12-2011	EUE	Employment and Unemployment, July 2004 - June 2005
108	DDI-IND-MOSPI-NSSO-61Rnd-Sch1-July2004-June2005	CEXP	Household Consumer Expenditure,  July 2004 - June 2005
107	IND-NSSO-SMHC-2004-v1.0	OTH	Survey on Morbidity and Health Care  January - June 2004
106	DDI-IND-MOSPI-NSSO-60th-Sch10-2004	EUE	Employment and Unemployment Survey, January 2004 - June 2004
105	DDI-IND-MOSPI-NSSO-60Rnd-Sch1-Jan-June2004	CEXP	Household Consumer Expenditure, Jan - June 2004
104	IND-NSSO-59Rnd-Sch33-SAF-2003	OTH	Situation Assessment Survey of Farmers, 2003
103	DDI-IND-MOSPI-NSSO-59Rnd-Sch18pt2-Jan-Dec2003	central	Debt & Investment, Jan - Dec 2003
102	DDI-IND-MOSPI-NSSO-59th-Sch18dot1-visit2-2003	central	Land and Livestock Holdings Survey Visit 2: NSS 59th Round : January - December 2003
101	DDI-IND-MOSPI-NSSO-59th-Sch18dot1-visit1-2003	LLS	Land and Livestock Holdings Survey Visit 1, January - December 2003
100	DDI-IND-MOSPI-NSSO-59Rnd-Sch1.0-2003	CEXP	Household Consumer Expenditure, Jan 2003 - Dec 2003
99	DDI-IND-MOSPI-NSSO-58Rnd-Sch26-July2002-Dec2002	OTH	Survey of disabled persons,  July 2002 - Dec 2002
98	IND-NSSO-58Rnd-Sch3.1-VF-2002	central	Village Facilities Survey , July 2002-December 2002
97	DDI-IND-MOSPI-NSSO-58Rnd-Sch1dot2-2002	central	Housing Condition Survey,  July - December 2002
96	DDI-IND-MOSPI-NSSO-58Rnd-Sch1.0-2002	CEXP	Household Consumer Expenditure,  July 2002 - Dec 2002
95	DDI-IND-MOSPI-NSSO-58Rnd-Sch-0dot21-2002	central	Urban Slums Survey, July - December 2002
94	IND-NSSO-57Rnd-Sch2.345-US-2002	central	Unorganised Service Sector: NSS 57th Round : July 2001-June 2002
93	DDI-IND-MOSPI-NSSO-57Rnd-Sch1.0-2001	CEXP	Household Consumer Expenditure, NSS 57th Round : July 2001 - June 2002
92	IND-NSSO-56-Rnd-Sch2.2-UM-2000-01	ENT	Unorganised Manufacture :  July 2000-June 2001
91	DDI-IND-MOSPI-NSSO-56Rnd-Sch1-July2000-June2001	central	Household Consumer Expenditure, July 2000 - June 2001
