source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,indicator,age_cohort,residence,sex,value
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,total,person,44.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,rural,male,76.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,rural,female,33.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,rural,person,55.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,urban,male,71.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,urban,female,20.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,urban,person,45.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,total,male,75.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,total,female,30.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,15plus,total,person,52.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,all_age,rural,male,58.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,all_age,rural,female,27.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,WPR,all_age,rural,person,43.4
