round,year,religion,residence,sex,n_15plus,lfpr,wpr,ur,salaried_share
2020-21,2020,all,all,male,159828,77.03,73.56,4.51,22.79
2020-21,2020,all,rural,all,178199,57.39,55.51,3.28,12.15
2020-21,2020,all,rural,female,88234,36.59,35.83,2.07,9.12
2020-21,2020,all,rural,male,89924,78.10,75.10,3.84,13.60
2020-21,2020,all,urban,all,138537,49.14,45.85,6.69,46.38
2020-21,2020,all,urban,female,68597,23.23,21.22,8.65,50.19
2020-21,2020,all,urban,male,69904,74.60,70.05,6.09,45.24
2020-21,2020,buddhist,all,all,3393,57.06,54.73,4.08,30.15
2020-21,2020,buddhist,all,female,1654,39.64,38.34,3.27,27.01
2020-21,2020,buddhist,all,male,1737,74.14,70.80,4.51,31.82
2020-21,2020,buddhist,rural,all,1965,62.07,61.00,1.73,19.66
2020-21,2020,buddhist,rural,female,950,47.71,47.02,1.45,15.28
2020-21,2020,buddhist,rural,male,1014,75.54,74.11,1.90,22.28
2020-21,2020,buddhist,urban,all,1428,48.72,44.30,9.06,54.15
2020-21,2020,buddhist,urban,female,704,26.98,24.73,8.32,61.99
2020-21,2020,buddhist,urban,male,723,71.68,64.97,9.36,51.00
2020-21,2020,christian,all,all,22342,56.36,52.57,6.73,28.07
2020-21,2020,christian,all,female,11280,39.30,36.72,6.57,29.88
2020-21,2020,christian,all,male,11058,74.52,69.44,6.82,27.05
2020-21,2020,christian,rural,all,12437,59.88,56.50,5.64,18.33
2020-21,2020,christian,rural,female,6185,43.29,41.08,5.12,17.45
2020-21,2020,christian,rural,male,6250,77.38,72.77,5.95,18.86
2020-21,2020,christian,urban,all,9905,50.35,45.85,8.94,48.56
2020-21,2020,christian,urban,female,5095,32.57,29.37,9.83,59.19
2020-21,2020,christian,urban,male,4808,69.59,63.68,8.49,43.26
2020-21,2020,hindu,all,all,240963,55.55,53.29,4.08,21.42
2020-21,2020,hindu,all,female,119282,33.93,32.78,3.36,17.35
2020-21,2020,hindu,all,male,121626,76.95,73.57,4.39,23.21
2020-21,2020,hindu,rural,all,138041,58.07,56.24,3.15,12.08
2020-21,2020,hindu,rural,female,68402,37.97,37.24,1.93,8.91
2020-21,2020,hindu,rural,male,69611,78.05,75.14,3.73,13.65
2020-21,2020,hindu,urban,all,102922,49.49,46.18,6.70,48.76
2020-21,2020,hindu,urban,female,50880,24.13,22.00,8.81,51.95
2020-21,2020,hindu,urban,male,52015,74.32,69.84,6.03,47.78
2020-21,2020,jain,all,all,707,48.25,47.33,1.90,27.70
2020-21,2020,jain,all,female,364,24.44,24.23,0.88,24.20
2020-21,2020,jain,all,male,343,74.30,72.62,2.27,28.98
2020-21,2020,jain,rural,all,167,52.00,51.74,0.51,14.85
2020-21,2020,jain,rural,female,96,34.36,34.36,0.00,7.29
2020-21,2020,jain,rural,male,71,74.93,74.32,0.81,19.39
2020-21,2020,jain,urban,all,540,46.08,44.79,2.81,36.26
2020-21,2020,jain,urban,female,268,17.95,17.59,1.98,45.81
2020-21,2020,jain,urban,male,272,73.99,71.77,3.01,33.94
2020-21,2020,muslim,all,all,40445,49.98,47.68,4.60,17.16
2020-21,2020,muslim,all,female,19862,21.16,20.42,3.53,12.64
2020-21,2020,muslim,all,male,20570,78.62,74.78,4.89,18.39
2020-21,2020,muslim,rural,all,20179,51.36,49.38,3.86,10.04
2020-21,2020,muslim,rural,female,9935,23.98,23.47,2.14,7.24
2020-21,2020,muslim,rural,male,10237,78.82,75.37,4.39,10.92
2020-21,2020,muslim,urban,all,20266,47.49,44.62,6.04,31.43
2020-21,2020,muslim,urban,female,9927,15.99,14.82,7.34,28.37
2020-21,2020,muslim,urban,male,10333,78.25,73.72,5.79,32.03
2020-21,2020,other,all,all,2254,64.99,62.54,3.77,9.61
2020-21,2020,other,all,female,1107,50.99,50.33,1.28,9.24
2020-21,2020,other,all,male,1147,78.18,74.05,5.29,9.84
2020-21,2020,other,rural,all,1364,67.79,66.04,2.58,6.04
2020-21,2020,other,rural,female,677,55.90,55.39,0.90,6.02
2020-21,2020,other,rural,male,687,78.99,76.07,3.70,6.06
2020-21,2020,other,urban,all,890,50.82,44.84,11.78,36.18
2020-21,2020,other,urban,female,430,26.16,24.74,5.44,45.77
2020-21,2020,other,urban,male,460,74.09,63.80,13.89,32.67
2020-21,2020,sikh,all,all,6632,49.79,47.18,5.24,24.17
2020-21,2020,sikh,all,female,3282,23.96,22.44,6.35,24.24
2020-21,2020,sikh,all,male,3347,75.44,71.76,4.89,24.14
2020-21,2020,sikh,rural,all,4046,52.27,49.74,4.84,18.61
2020-21,2020,sikh,rural,female,1989,26.25,24.56,6.44,15.80
2020-21,2020,sikh,rural,male,2054,78.13,74.77,4.31,19.53
2020-21,2020,sikh,urban,all,2586,43.92,41.12,6.36,40.05
2020-21,2020,sikh,urban,female,1293,18.54,17.42,6.05,52.37
2020-21,2020,sikh,urban,male,1293,69.07,64.63,6.44,36.75
2021-22,2021,all,all,all,327081,55.18,52.95,4.05,21.54
2021-22,2021,all,all,female,162015,32.84,31.74,3.34,16.58
2021-22,2021,all,all,male,165045,77.20,73.84,4.35,23.64
2021-22,2021,all,rural,all,185551,57.48,55.61,3.25,12.56
2021-22,2021,all,rural,female,92089,36.58,35.81,2.12,8.07
2021-22,2021,all,rural,male,93454,78.25,75.30,3.77,14.69
2021-22,2021,all,urban,all,141530,49.70,46.59,6.27,47.14
2021-22,2021,all,urban,female,69926,23.76,21.89,7.86,50.34
2021-22,2021,all,urban,male,71591,74.75,70.42,5.78,46.17
2021-22,2021,buddhist,all,all,3737,58.25,55.50,4.71,23.67
2021-22,2021,buddhist,all,female,1837,40.52,39.22,3.22,20.02
2021-22,2021,buddhist,all,male,1899,75.89,71.71,5.51,25.65
2021-22,2021,buddhist,rural,all,2371,62.34,59.82,4.05,13.44
2021-22,2021,buddhist,rural,female,1149,45.27,44.32,2.09,9.50
2021-22,2021,buddhist,rural,male,1221,79.48,75.38,5.16,15.77
2021-22,2021,buddhist,urban,all,1366,49.35,46.12,6.55,52.49
2021-22,2021,buddhist,urban,female,688,30.06,27.98,6.94,56.72
2021-22,2021,buddhist,urban,male,678,68.20,63.85,6.38,50.68
2021-22,2021,christian,all,all,22821,58.85,55.45,5.78,28.55
2021-22,2021,christian,all,female,11486,44.46,41.56,6.52,28.47
2021-22,2021,christian,all,male,11334,73.82,69.89,5.32,28.60
2021-22,2021,christian,rural,all,12782,63.54,60.60,4.63,18.78
2021-22,2021,christian,rural,female,6348,50.13,47.72,4.82,16.42
2021-22,2021,christian,rural,male,6434,77.19,73.72,4.50,20.34
2021-22,2021,christian,urban,all,10039,51.07,46.90,8.16,49.51
2021-22,2021,christian,urban,female,5138,35.30,31.62,10.43,57.85
2021-22,2021,christian,urban,male,4900,68.06,63.36,6.90,45.02
2021-22,2021,hindu,all,all,246124,55.83,53.64,3.92,21.50
2021-22,2021,hindu,all,female,121831,34.23,33.17,3.11,16.27
2021-22,2021,hindu,all,male,124277,77.09,73.79,4.28,23.81
2021-22,2021,hindu,rural,all,142096,58.16,56.33,3.15,12.25
2021-22,2021,hindu,rural,female,70653,38.01,37.26,1.97,7.68
2021-22,2021,hindu,rural,male,71438,78.18,75.27,3.72,14.50
2021-22,2021,hindu,urban,all,104028,49.97,46.88,6.19,49.47
2021-22,2021,hindu,urban,female,51178,24.56,22.69,7.62,52.35
2021-22,2021,hindu,urban,male,52839,74.41,70.14,5.73,48.58
2021-22,2021,jain,all,all,655,49.98,48.72,2.52,35.30
2021-22,2021,jain,all,female,317,20.68,18.71,9.55,32.31
2021-22,2021,jain,all,male,338,77.85,77.27,0.74,35.99
2021-22,2021,jain,rural,all,68,58.07,54.92,5.42,38.00
2021-22,2021,jain,rural,female,32,27.67,21.20,23.37,12.19
