source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,residence,sex,metric,value
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,male,regular_wage_salary,20.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,male,casual_labour,24.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,female,own_account_worker,49.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,female,helper_in_household,31.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,female,all_self_employed,81.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,female,regular_wage_salary,10.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,female,casual_labour,7.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,person,own_account_worker,47.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,person,helper_in_household,14.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,person,all_self_employed,62.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,person,regular_wage_salary,18.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,muslim,total,person,casual_labour,19.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,male,own_account_worker,46.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,male,helper_in_household,10.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,male,all_self_employed,57.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,male,regular_wage_salary,17.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,male,casual_labour,25.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,female,own_account_worker,34.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,female,helper_in_household,32.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,female,all_self_employed,66.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,female,regular_wage_salary,15.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,female,casual_labour,17.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,person,own_account_worker,41.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,person,helper_in_household,20.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,person,all_self_employed,61.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,person,regular_wage_salary,16.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,rural,person,casual_labour,21.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,male,own_account_worker,31.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,male,helper_in_household,1.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,male,all_self_employed,32.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,male,regular_wage_salary,50.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,male,casual_labour,16.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,female,own_account_worker,28.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,female,helper_in_household,8.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,female,all_self_employed,36.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,female,regular_wage_salary,55.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,female,casual_labour,7.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,person,own_account_worker,30.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,person,helper_in_household,3.8
