source_id,source_document,source_sha256_prefix,extraction_run,table_name,geography_level,geography_code,area_name,residence,age_group,religion,persons
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,25-29,christian,2305878
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,25-29,sikh,1774466
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,25-29,buddhist,775032
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,25-29,jain,385662
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,25-29,other,623090
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,30-34,all,88594951
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,30-34,hindu,71731534
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,30-34,muslim,11540455
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,30-34,christian,2046431
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,30-34,sikh,1548589
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,30-34,buddhist,658703
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,30-34,jain,365817
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,30-34,other,528517
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,35-39,all,85140684
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,35-39,hindu,69143968
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,35-39,muslim,10873884
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,35-39,christian,2004636
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,35-39,sikh,1473691
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,35-39,buddhist,622972
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,35-39,jain,348301
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,35-39,other,519601
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,40-44,all,72438112
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,40-44,hindu,58915047
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,40-44,muslim,8890392
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,40-44,christian,1828958
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,40-44,sikh,1362766
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,40-44,buddhist,538596
