source_id,source_document,source_sha256_prefix,extraction_run,table_name,state_code,distt_code,area_name,residence,age_group,religion,sex,value
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,hindu,females,49534671
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,muslim,persons,21451442
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,muslim,males,11084681
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,muslim,females,10366761
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,christian,persons,2760926
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,christian,males,1402808
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,christian,females,1358118
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,sikh,persons,1904993
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,sikh,males,1070813
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,sikh,females,834180
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,buddhist,persons,840760
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,buddhist,males,434979
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,buddhist,females,405781
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,jain,persons,340952
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,jain,males,182042
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,jain,females,158910
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,other,persons,968883
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,other,males,491056
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,10-14,other,females,477827
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,all,persons,120526449
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,all,males,63982396
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,all,females,56544053
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,hindu,persons,94463520
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,hindu,males,50425235
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,hindu,females,44038285
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,muslim,persons,19101614
