district_code,state,district,year,religion,value,source
IN-S09-D170,Uttar Pradesh,Banda,2011,muslim,8.7591,census-india-2011
IN-S09-D171,Uttar Pradesh,Chitrakoot,2011,muslim,3.4847,census-india-2011
IN-S09-D172,Uttar Pradesh,Fatehpur,2011,muslim,13.3208,census-india-2011
IN-S09-D173,Uttar Pradesh,Pratapgarh,2011,muslim,14.097,census-india-2011
IN-S09-D174,Uttar Pradesh,Kaushambi,2011,muslim,13.7799,census-india-2011
IN-S09-D175,Uttar Pradesh,Allahabad,2011,muslim,13.381,census-india-2011
IN-S09-D176,Uttar Pradesh,Bara Banki,2011,muslim,22.6058,census-india-2011
IN-S09-D177,Uttar Pradesh,Faizabad,2011,muslim,14.804,census-india-2011
IN-S09-D178,Uttar Pradesh,Ambedkar Nagar,2011,muslim,16.7513,census-india-2011
IN-S09-D179,Uttar Pradesh,Sultanpur,2011,muslim,17.1251,census-india-2011
IN-S09-D180,Uttar Pradesh,Bahraich,2011,muslim,33.527,census-india-2011
IN-S09-D181,Uttar Pradesh,Shrawasti,2011,muslim,30.7851,census-india-2011
IN-S09-D182,Uttar Pradesh,Balrampur,2011,muslim,37.5105,census-india-2011
IN-S09-D183,Uttar Pradesh,Gonda,2011,muslim,19.7621,census-india-2011
IN-S09-D184,Uttar Pradesh,Siddharthnagar,2011,muslim,29.2296,census-india-2011
IN-S09-D185,Uttar Pradesh,Basti,2011,muslim,14.7906,census-india-2011
IN-S09-D186,Uttar Pradesh,Sant Kabir Nagar,2011,muslim,23.5782,census-india-2011
IN-S09-D187,Uttar Pradesh,Mahrajganj,2011,muslim,17.0838,census-india-2011
IN-S09-D188,Uttar Pradesh,Gorakhpur,2011,muslim,9.0938,census-india-2011
IN-S09-D189,Uttar Pradesh,Kushinagar,2011,muslim,17.4004,census-india-2011
IN-S09-D190,Uttar Pradesh,Deoria,2011,muslim,11.5622,census-india-2011
IN-S09-D191,Uttar Pradesh,Azamgarh,2011,muslim,15.5766,census-india-2011
IN-S09-D192,Uttar Pradesh,Mau,2011,muslim,19.4271,census-india-2011
IN-S09-D193,Uttar Pradesh,Ballia,2011,muslim,6.5881,census-india-2011
IN-S09-D194,Uttar Pradesh,Jaunpur,2011,muslim,10.7639,census-india-2011
IN-S09-D195,Uttar Pradesh,Ghazipur,2011,muslim,10.1692,census-india-2011
IN-S09-D196,Uttar Pradesh,Chandauli,2011,muslim,11.0142,census-india-2011
IN-S09-D197,Uttar Pradesh,Varanasi,2011,muslim,14.8765,census-india-2011
IN-S09-D198,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2011,muslim,12.9189,census-india-2011
IN-S09-D199,Uttar Pradesh,Mirzapur,2011,muslim,7.8401,census-india-2011
IN-S09-D200,Uttar Pradesh,Sonbhadra,2011,muslim,5.5605,census-india-2011
IN-S09-D201,Uttar Pradesh,Etah,2011,muslim,8.2473,census-india-2011
IN-S09-D202,Uttar Pradesh,Kanshiram Nagar,2011,muslim,14.8827,census-india-2011
IN-S10-D203,Bihar,Pashchim Champaran,2011,muslim,21.9843,census-india-2011
IN-S10-D204,Bihar,Purba Champaran,2011,muslim,19.421,census-india-2011
IN-S10-D205,Bihar,Sheohar,2011,muslim,15.1379,census-india-2011
IN-S10-D206,Bihar,Sitamarhi,2011,muslim,21.6178,census-india-2011
IN-S10-D207,Bihar,Madhubani,2011,muslim,18.2492,census-india-2011
IN-S10-D208,Bihar,Supaul,2011,muslim,18.3597,census-india-2011
IN-S10-D209,Bihar,Araria,2011,muslim,42.9455,census-india-2011
IN-S10-D210,Bihar,Kishanganj,2011,muslim,67.9777,census-india-2011
IN-S10-D211,Bihar,Purnia,2011,muslim,38.4621,census-india-2011
IN-S10-D212,Bihar,Katihar,2011,muslim,44.4686,census-india-2011
IN-S10-D213,Bihar,Madhepura,2011,muslim,12.0774,census-india-2011
IN-S10-D214,Bihar,Saharsa,2011,muslim,14.0278,census-india-2011
IN-S10-D215,Bihar,Darbhanga,2011,muslim,22.3873,census-india-2011
IN-S10-D216,Bihar,Muzaffarpur,2011,muslim,15.5288,census-india-2011
IN-S10-D217,Bihar,Gopalganj,2011,muslim,17.0201,census-india-2011
IN-S10-D218,Bihar,Siwan,2011,muslim,18.2642,census-india-2011
IN-S10-D219,Bihar,Saran,2011,muslim,10.285,census-india-2011
IN-S10-D220,Bihar,Vaishali,2011,muslim,9.5559,census-india-2011
IN-S10-D221,Bihar,Samastipur,2011,muslim,10.6151,census-india-2011
IN-S10-D222,Bihar,Begusarai,2011,muslim,13.7129,census-india-2011
IN-S10-D223,Bihar,Khagaria,2011,muslim,10.5339,census-india-2011
IN-S10-D224,Bihar,Bhagalpur,2011,muslim,17.6807,census-india-2011
IN-S10-D225,Bihar,Banka,2011,muslim,12.3319,census-india-2011
IN-S10-D226,Bihar,Munger,2011,muslim,8.0727,census-india-2011
IN-S10-D227,Bihar,Lakhisarai,2011,muslim,4.0849,census-india-2011
IN-S10-D228,Bihar,Sheikhpura,2011,muslim,5.9171,census-india-2011
IN-S10-D229,Bihar,Nalanda,2011,muslim,6.8818,census-india-2011
IN-S10-D230,Bihar,Patna,2011,muslim,7.5354,census-india-2011
IN-S10-D231,Bihar,Bhojpur,2011,muslim,7.2503,census-india-2011
IN-S10-D232,Bihar,Buxar,2011,muslim,6.1783,census-india-2011
IN-S10-D233,Bihar,Kaimur (Bhabua),2011,muslim,9.5477,census-india-2011
IN-S10-D234,Bihar,Rohtas,2011,muslim,10.1519,census-india-2011
IN-S10-D235,Bihar,Aurangabad,2011,muslim,9.3443,census-india-2011
IN-S10-D236,Bihar,Gaya,2011,muslim,11.1153,census-india-2011
IN-S10-D237,Bihar,Nawada,2011,muslim,11.013,census-india-2011
IN-S10-D238,Bihar,Jamui,2011,muslim,12.362,census-india-2011
IN-S10-D239,Bihar,Jehanabad,2011,muslim,6.7307,census-india-2011
IN-S10-D240,Bihar,Arwal,2011,muslim,9.1688,census-india-2011
IN-S11-D241,Sikkim,North  District,2011,muslim,1.8646,census-india-2011
IN-S11-D242,Sikkim,West District,2011,muslim,0.7073,census-india-2011
IN-S11-D243,Sikkim,South District,2011,muslim,1.2863,census-india-2011
IN-S11-D244,Sikkim,East District,2011,muslim,2.1856,census-india-2011
IN-S12-D245,Arunachal Pradesh,Tawang,2011,muslim,1.5747,census-india-2011
IN-S12-D246,Arunachal Pradesh,West Kameng,2011,muslim,2.3467,census-india-2011
IN-S12-D247,Arunachal Pradesh,East Kameng,2011,muslim,0.8286,census-india-2011
IN-S12-D248,Arunachal Pradesh,Papum Pare,2011,muslim,3.4818,census-india-2011
IN-S12-D249,Arunachal Pradesh,Upper Subansiri,2011,muslim,0.6243,census-india-2011
IN-S12-D250,Arunachal Pradesh,West Siang,2011,muslim,1.9755,census-india-2011
IN-S12-D251,Arunachal Pradesh,East Siang,2011,muslim,2.3071,census-india-2011
IN-S12-D252,Arunachal Pradesh,Upper Siang,2011,muslim,1.1636,census-india-2011
IN-S12-D253,Arunachal Pradesh,Changlang,2011,muslim,1.4397,census-india-2011
IN-S12-D254,Arunachal Pradesh,Tirap,2011,muslim,0.985,census-india-2011
IN-S12-D255,Arunachal Pradesh,Lower Subansiri,2011,muslim,1.7849,census-india-2011
IN-S12-D256,Arunachal Pradesh,Kurung Kumey,2011,muslim,0.5115,census-india-2011
